personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
400162,73539896233,Government official,"Rep. Raul Grijalva [D, AZ-7]",AZ,7,732,18,2,4,0,0,755,10,1,1895,44,3
412447,172826269425545,Government official,"Rep. Frank Guinta [R, NH-1]",NH,1,201,2,2,2,0,0,233,2,2,665,1,1
412278,21836146886,Politician,"Rep. Brett Guthrie [R, KY-2]",KY,2,289,3,1,0,0,0,168,2,1,391,1,0
412324,7871449189,Government official,"Sen. Kay Hagan [D, NC]",NC,,390,6,4,280,7,3,300,2,2,549,3,2
412498,256471267712118,Government official,"Rep. Janice Hahn [D, CA-36]",CA,36,32,0,0,7,0,0,4,0,0,59,0,0
400165,6311458773,Government official,"Rep. Ralph Hall [R, TX-4]",TX,4,198,1,0,3,0,0,112,2,0,256,0,0
412418,169979129710178,Government official,"Rep. Colleen Hanabusa [D, HI-1]",HI,1,261,2,1,78,0,0,198,18,18,775,11,6
412454,172284859480630,Government official,"Rep. Richard Hanna [R, NY-24]",NY,24,251,1,0,144,0,0,274,2,0,514,3,0
300051,252422916567,Government official,"Sen. Thomas Harkin [D, IA]",IA,,381,8,1,308,11,4,152,3,0,372,22,0
412280,48248435938,Government official,"Rep. Gregg Harper [R, MS-3]",MS,3,422,15,1,397,26,0,195,1,0,901,84,10
412444,183580061667324,Government official,"Rep. Vicky Hartzler [R, MO-4]",MO,4,248,3,3,2,0,0,355,35,35,682,19,19
400170,95696782238,Government official,"Rep. Alcee Hastings [D, FL-23]",FL,23,151,1,0,0,0,0,0,0,0,480,10,0
400171,7507129675,Government official,"Rep. Doc Hastings [R, WA-4]",WA,4,182,3,1,25,0,0,149,3,1,327,3,2
300052,46877272444,Politician,"Sen. Orrin Hatch [R, UT]",UT,,441,2,1,214,2,2,193,2,2,737,1,0
412452,179470318754613,Government official,"Rep. Nan Hayworth [R, NY-19]",NY,19,330,3,0,193,2,0,364,0,0,936,3,0
412446,155211751194624,Government official,"Rep. Joe Heck [R, NV-3]",NV,3,281,1,1,0,0,0,367,2,2,802,2,2
400175,7875604788,Government official,"Rep. Jeb Hensarling [R, TX-5]",TX,5,337,7,1,0,0,0,239,6,1,542,4,0
400176,106290861103,Government official,"Rep. Walter Herger [R, CA-2]",CA,2,111,1,1,1,0,0,68,0,0,160,1,1
412486,177551525610164,Government official,"Rep. Jaime Herrera Beutler [R, WA-3]",WA,3,249,1,0,135,1,0,106,0,0,259,0,0
400641,88144056440,Government official,"Rep. Brian Higgins [D, NY-27]",NY,27,324,2,1,6,0,0,230,3,2,625,2,2
412282,85767418619,Government official,"Rep. James Himes [D, CT-4]",CT,4,245,0,0,0,0,0,240,0,0,737,0,0
400178,7842551363,Government official,"Rep. Maurice Hinchey [D, NY-22]",NY,22,450,4,2,267,3,1,252,0,0,529,6,2
400179,402891225161,Government official,"Rep. Rubén Hinojosa [D, TX-15]",TX,15,192,3,0,0,0,0,126,3,0,594,0,0
412497,173600989370112,Government official,"Rep. Kathleen Hochul [D, NY-26]",NY,26,110,1,1,23,0,0,69,0,0,355,5,5
412494,194483057244478,Government official,"Sen. John Hoeven [R, ND]",ND,,256,4,0,122,4,0,115,4,0,385,22,0
400183,239695980964,Politician,"Rep. Tim Holden [D, PA-17]",PA,17,89,0,0,0,0,0,41,0,0,104,0,0
400185,15675385380,Government official,"Rep. Michael Honda [D, CA-15]",CA,15,455,6,0,276,6,0,220,1,0,448,7,0
400189,282861997886,Government official,"Rep. Steny Hoyer [D, MD-5]",MD,5,526,2,0,1,0,0,540,0,0,1239,2,0
